name,team,nationality,gender,specialty
"Paul MAGNIER","SOUDAL QUICK-STEP (SOQ)","FRA","M",""
"Matteo MALUCELLI","XDS ASTANA TEAM (XAT)","ITA","M",""
"Arne MARIT","RED BULL - BORA - HANSGROHE (RBH)","BEL","M",""
"Niklas MÄRKL","TEAM PICNIC POSTNL (TPP)","GER","M",""
"Tim MARSMAN","ALPECIN-PREMIER TECH (APT)","NED","M",""
"Pau MARTI SORIANO","NSN CYCLING TEAM (NSN)","ESP","M",""
"Guillaume MARTIN GUYONNET","GROUPAMA-FDJ UNITED (GFC)","FRA","M",""
"Guillermo Juan MARTINEZ HUERTAS","TEAM PICNIC POSTNL (TPP)","COL","M",""
"Lenny MARTINEZ","BAHRAIN VICTORIOUS (TBV)","FRA","M",""
"Daniel Felipe MARTINEZ POVEDA","RED BULL - BORA - HANSGROHE (RBH)","COL","M",""
"Enric MAS NICOLAU","MOVISTAR TEAM (MOV)","ESP","M",""
"Michael MATTHEWS","TEAM JAYCO ALULA (JAY)","AUS","M",""
"Pietro MATTIO","TEAM VISMA | LEASE A BIKE (TVL)","ITA","M",""
"Hamish MCKENZIE","TEAM JAYCO ALULA (JAY)","AUS","M",""
"Brandon MCNULTY","UAE TEAM EMIRATES XRG (UAD)","USA","M",""
"Jordi MEEUS","RED BULL - BORA - HANSGROHE (RBH)","BEL","M",""
"Milan MENTEN","LOTTO INTERMARCHÉ (LOI)","BEL","M",""
"Tim MERLIER","SOUDAL QUICK-STEP (SOQ)","BEL","M",""
"Luka MEZGEC","TEAM JAYCO ALULA (JAY)","SLO","M",""
"Madis MIHKELS","EF EDUCATION - EASYPOST (EFE)","EST","M",""
"Fran MIHOLJEVIĆ","BAHRAIN VICTORIOUS (TBV)","CRO","M",""
"Jonathan MILAN","LIDL-TREK (LTK)","ITA","M",""
"Matteo MILAN","GROUPAMA-FDJ UNITED (GFC)","ITA","M",""
"Lorenzo MILESI","MOVISTAR TEAM (MOV)","ITA","M",""
"Pau MIQUEL DELGADO","BAHRAIN VICTORIOUS (TBV)","ESP","M",""
"Matej MOHORIC","BAHRAIN VICTORIOUS (TBV)","SLO","M",""
"Juan Sebastian MOLANO BENAVIDES","UAE TEAM EMIRATES XRG (UAD)","COL","M",""
"Rudy MOLARD","GROUPAMA-FDJ UNITED (GFC)","FRA","M",""
"Bauke MOLLEMA","LIDL-TREK (LTK)","NED","M",""
"Manlio MORO","MOVISTAR TEAM (MOV)","ITA","M",""
"Jacopo MOSCA","LIDL-TREK (LTK)","ITA","M",""
"Gianni MOSCON","RED BULL - BORA - HANSGROHE (RBH)","ITA","M",""
"Gregor MÜHLBERGER","DECATHLON CMA CGM TEAM (DCT)","AUT","M",""
"Ryan William MULLEN","NSN CYCLING TEAM (NSN)","IRL","M",""
"Henok MULUEBERHAN","XDS ASTANA TEAM (XAT)","ERI","M",""
